Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
35000,4/22/2016,credit_card,,272.33%,932xx,CA,< 1 year,0
10000,4/22/2016,Debt consolidation,659,19.84%,532xx,WI,7 years,0
8000,4/22/2016,credit_card,,22.64%,329xx,FL,5 years,0
5000,4/22/2016,credit_card,,38.65%,891xx,NV,< 1 year,0
5000,4/22/2016,other,,17.41%,788xx,TX,< 1 year,0
7500,4/22/2016,debt_consolidation,,12.20%,980xx,WA,< 1 year,0
25000,4/22/2016,other,,57.50%,535xx,WI,< 1 year,0
18000,4/22/2016,debt_consolidation,670,42.27%,430xx,OH,< 1 year,0
16000,4/22/2016,home_improvement,,21.48%,132xx,NY,< 1 year,0
7000,4/22/2016,debt_consolidation,,28.24%,371xx,TN,< 1 year,0
40000,4/22/2016,other,,50.04%,333xx,FL,< 1 year,0
5000,4/22/2016,other,,12.99%,061xx,CT,< 1 year,0
2000,4/22/2016,credit_card,,99.74%,921xx,CA,< 1 year,0
3000,4/22/2016,debt_consolidation,,6.06%,300xx,GA,< 1 year,0
125000,4/22/2016,Business Loan,,-1%,730xx,OK,< 1 year,0
15000,4/22/2016,debt_consolidation,,28.13%,275xx,NC,5 years,0
5000,4/22/2016,debt_consolidation,,32.06%,241xx,VA,5 years,0
20000,4/22/2016,debt_consolidation,,40.49%,112xx,NY,< 1 year,0
20000,4/22/2016,debt_consolidation,,29.83%,535xx,WI,< 1 year,0
12000,4/22/2016,credit_card,,17.78%,105xx,NY,5 years,0
20000,4/22/2016,debt_consolidation,,9.11%,550xx,MN,< 1 year,0
30000,4/22/2016,debt_consolidation,,19.44%,959xx,CA,< 1 year,0
5000,4/22/2016,major_purchase,,14.07%,622xx,IL,< 1 year,0
15000,4/22/2016,debt_consolidation,,30.80%,136xx,NY,5 years,0
11000,4/22/2016,debt_consolidation,641,5.37%,913xx,CA,< 1 year,0
8000,4/22/2016,Credit card refinancing,,5.18%,549xx,WI,2 years,0
25000,4/22/2016,debt_consolidation,,17.68%,928xx,CA,< 1 year,0
4000,4/22/2016,other,,49.51%,224xx,VA,5 years,0
20000,4/22/2016,debt_consolidation,644,30.85%,286xx,NC,< 1 year,0
10000,4/22/2016,debt_consolidation,,32.20%,136xx,NY,< 1 year,0
2000,4/22/2016,credit_card,,4.22%,303xx,GA,< 1 year,0
10000,4/22/2016,debt_consolidation,,14.22%,437xx,OH,< 1 year,0
10000,4/22/2016,debt_consolidation,,22.87%,982xx,WA,< 1 year,0
25000,4/22/2016,Debt consolidation,664,27.74%,750xx,TX,6 years,0
8000,4/22/2016,debt_consolidation,608,12.82%,735xx,OK,< 1 year,0
6000,4/22/2016,home_improvement,,19.11%,318xx,GA,< 1 year,0
20000,4/22/2016,debt_consolidation,,17.88%,344xx,FL,,0
10000,4/22/2016,credit_card,,4.50%,023xx,MA,5 years,0
25000,4/22/2016,debt_consolidation,,18.50%,551xx,MN,< 1 year,0
8000,4/22/2016,debt_consolidation,690,61.54%,765xx,TX,< 1 year,0
35000,4/22/2016,debt_consolidation,,6.48%,397xx,MS,< 1 year,0
5000,4/22/2016,debt_consolidation,635,28.65%,633xx,MO,< 1 year,0
10000,4/22/2016,house,,30.69%,464xx,IN,5 years,0
10000,4/22/2016,debt_consolidation,,17.81%,349xx,FL,< 1 year,0
2000,4/22/2016,debt_consolidation,,11.34%,731xx,OK,< 1 year,0
5000,4/22/2016,debt_consolidation,605,33.37%,933xx,CA,< 1 year,0
3000,4/22/2016,debt_consolidation,,34.83%,755xx,TX,< 1 year,0
25000,4/22/2016,credit_card,684,27.46%,852xx,AZ,< 1 year,0
5000,4/22/2016,debt_consolidation,,18.83%,430xx,OH,< 1 year,0
5000,4/22/2016,other,,316%,080xx,NJ,< 1 year,0
10000,4/22/2016,debt_consolidation,,5.82%,427xx,KY,< 1 year,0
14000,4/22/2016,car,,20.08%,782xx,TX,< 1 year,0
20000,4/22/2016,debt_consolidation,,-1%,242xx,VA,< 1 year,0
5000,4/22/2016,other,,14.16%,701xx,LA,< 1 year,0
20000,4/22/2016,debt_consolidation,582,16.50%,982xx,WA,< 1 year,0
20000,4/22/2016,debt_consolidation,,30.45%,111xx,NY,< 1 year,0
8000,4/22/2016,debt_consolidation,,32.18%,306xx,GA,< 1 year,0
6025,4/22/2016,major_purchase,,4.24%,782xx,TX,< 1 year,0
15000,4/22/2016,debt_consolidation,635,20.08%,350xx,AL,< 1 year,0
15000,4/22/2016,debt_consolidation,,22.98%,207xx,MD,< 1 year,0
20000,4/22/2016,debt_consolidation,,32.04%,784xx,TX,< 1 year,0
25000,4/22/2016,debt_consolidation,669,36.82%,390xx,MS,< 1 year,0
31000,4/22/2016,debt_consolidation,,23.56%,860xx,AZ,< 1 year,0
9000,4/22/2016,major_purchase,,-1%,061xx,CT,< 1 year,0
15000,4/22/2016,credit_card,,24.02%,294xx,SC,< 1 year,0
5000,4/22/2016,other,,32.13%,919xx,CA,< 1 year,0
3500,4/22/2016,other,,17.15%,122xx,NY,< 1 year,0
10000,4/22/2016,credit_card,,7.80%,109xx,NY,< 1 year,0
15000,4/22/2016,debt_consolidation,,51.73%,335xx,FL,< 1 year,0
10000,4/22/2016,home_improvement,583,30.89%,335xx,FL,10+ years,0
25000,4/22/2016,debt_consolidation,,36.99%,078xx,NJ,< 1 year,0
30000,4/22/2016,major_purchase,,0%,557xx,MN,< 1 year,0
15000,4/22/2016,debt_consolidation,,36.58%,432xx,OH,< 1 year,0
8000,4/22/2016,debt_consolidation,598,31.62%,040xx,ME,< 1 year,0
3500,4/22/2016,debt_consolidation,,14.81%,890xx,NV,< 1 year,0
20000,4/22/2016,debt_consolidation,,0%,112xx,NY,< 1 year,0
15000,4/22/2016,debt_consolidation,,14.94%,571xx,SD,< 1 year,0
20000,4/22/2016,debt_consolidation,,24.57%,730xx,OK,< 1 year,0
10000,4/22/2016,debt_consolidation,,25.83%,113xx,NY,< 1 year,0
5000,4/22/2016,other,715,48.14%,730xx,OK,< 1 year,0
15000,4/22/2016,house,,11.47%,902xx,CA,< 1 year,0
30000,4/22/2016,debt_consolidation,646,11.25%,104xx,NY,< 1 year,0
2000,4/22/2016,debt_consolidation,,32.98%,481xx,MI,< 1 year,0
5000,4/22/2016,home_improvement,,4.42%,850xx,AZ,< 1 year,0
10000,4/22/2016,small_business,,14.23%,917xx,CA,< 1 year,0
9500,4/22/2016,debt_consolidation,,11.62%,926xx,CA,,0
30000,4/22/2016,debt_consolidation,,20.19%,711xx,LA,< 1 year,0
3500,4/22/2016,other,,29.93%,923xx,CA,< 1 year,0
20000,4/22/2016,debt_consolidation,681,73.69%,906xx,CA,< 1 year,0
3500,4/22/2016,vacation,,-1%,411xx,KY,5 years,0
30000,4/22/2016,debt_consolidation,613,36.03%,218xx,MD,< 1 year,0
1000,4/22/2016,other,,6.40%,757xx,TX,5 years,0
10000,4/22/2016,debt_consolidation,630,64.52%,286xx,NC,< 1 year,0
2000,4/22/2016,moving,,25.57%,773xx,TX,< 1 year,0
1000,4/22/2016,home_improvement,,0.63%,025xx,MA,< 1 year,0
10000,4/22/2016,car,,7.57%,364xx,AL,< 1 year,0
5000,4/22/2016,Debt consolidation,694,17.95%,482xx,MI,,0
30000,4/22/2016,other,,0.99%,960xx,CA,5 years,0
35000,4/22/2016,major_purchase,,125.83%,402xx,KY,< 1 year,0
35000,4/22/2016,credit_card,,36.33%,201xx,VA,< 1 year,0
8500,4/22/2016,home_improvement,,31.54%,680xx,NE,< 1 year,0
8000,4/22/2016,debt_consolidation,,85.13%,258xx,WV,< 1 year,0
30000,4/22/2016,major_purchase,,0.58%,827xx,WY,< 1 year,0
10000,4/22/2016,debt_consolidation,,21.42%,891xx,NV,< 1 year,0
15000,4/22/2016,debt_consolidation,,8.44%,549xx,WI,< 1 year,0
10000,4/22/2016,debt_consolidation,,45.14%,351xx,AL,< 1 year,0
10000,4/22/2016,debt_consolidation,,5.94%,958xx,CA,< 1 year,0
35000,4/22/2016,major_purchase,,18.51%,011xx,MA,< 1 year,0
200000,4/22/2016,Business Loan,,-1%,906xx,CA,< 1 year,2
10000,4/22/2016,other,,14.97%,740xx,OK,< 1 year,0
5500,4/22/2016,debt_consolidation,,18.21%,631xx,MO,< 1 year,0
10000,4/22/2016,Business Loan,,-1%,468xx,IN,< 1 year,0
10000,4/22/2016,major_purchase,,11.80%,073xx,NJ,< 1 year,0
2000,4/22/2016,debt_consolidation,,26.40%,809xx,CO,< 1 year,0
40000,4/22/2016,debt_consolidation,731,20.07%,085xx,NJ,< 1 year,0
40000,4/22/2016,other,,20.66%,935xx,CA,< 1 year,0
1000,4/22/2016,car,,25.60%,891xx,NV,5 years,0
15000,4/22/2016,debt_consolidation,,67.53%,440xx,OH,,0
28000,4/22/2016,debt_consolidation,,40.87%,541xx,WI,< 1 year,0
12000,4/22/2016,other,,3.27%,959xx,CA,5 years,0
6000,4/22/2016,debt_consolidation,650,28.96%,037xx,NH,< 1 year,0
50000,4/22/2016,home_improvement,,3.80%,381xx,TN,< 1 year,0
25000,4/22/2016,debt_consolidation,,61.06%,737xx,OK,,0
3500,4/22/2016,other,,18.76%,212xx,MD,5 years,0
35000,4/22/2016,Business Loan,,-1%,303xx,GA,< 1 year,0
20000,4/22/2016,debt_consolidation,,0%,224xx,VA,< 1 year,0
12000,4/22/2016,car,645,20.69%,281xx,NC,< 1 year,0
1200,4/22/2016,other,,25.87%,631xx,MO,< 1 year,0
1000,4/22/2016,other,689,2.04%,057xx,VT,< 1 year,0
20000,4/22/2016,debt_consolidation,,39.67%,681xx,NE,< 1 year,0
8000,4/22/2016,car,,2.54%,154xx,PA,< 1 year,0
7000,4/22/2016,major_purchase,,517.02%,956xx,CA,< 1 year,0
20000,4/22/2016,debt_consolidation,,-1%,100xx,NY,< 1 year,0
30000,4/22/2016,other,,0%,723xx,AR,< 1 year,0
20000,4/22/2016,credit_card,,29.89%,206xx,MD,< 1 year,0
5000,4/22/2016,credit_card,,6.48%,113xx,NY,< 1 year,0
4000,4/22/2016,moving,,9.51%,403xx,KY,< 1 year,0
1600,4/22/2016,debt_consolidation,,-1%,300xx,GA,< 1 year,0
8000,4/22/2016,debt_consolidation,663,96.94%,238xx,VA,< 1 year,0
2800,4/22/2016,other,,14.56%,373xx,TN,< 1 year,0
5000,4/22/2016,debt_consolidation,,27.78%,781xx,TX,< 1 year,0
20000,4/22/2016,Home improvement,,8.21%,124xx,NY,9 years,0
5500,4/22/2016,debt_consolidation,,17.44%,235xx,VA,< 1 year,0
10000,4/22/2016,credit_card,,28%,335xx,FL,< 1 year,0
5000,4/22/2016,car,,22.21%,080xx,NJ,< 1 year,0
15000,4/22/2016,debt_consolidation,,4.86%,989xx,WA,< 1 year,0
5000,4/22/2016,debt_consolidation,,15.60%,257xx,NC,< 1 year,0
10000,4/22/2016,Debt consolidation,614,88.29%,945xx,CA,,0
1000,4/22/2016,debt_consolidation,,2.15%,810xx,CO,< 1 year,0
3000,4/22/2016,other,,27.16%,370xx,TN,< 1 year,0
10000,4/22/2016,debt_consolidation,,24.05%,786xx,TX,< 1 year,0
15000,4/22/2016,credit_card,,16.35%,100xx,NY,5 years,0
20000,4/22/2016,debt_consolidation,,0%,100xx,NY,< 1 year,0
6000,4/22/2016,home_improvement,,11.26%,647xx,MO,< 1 year,0
1000,4/22/2016,debt_consolidation,,19.76%,071xx,NJ,< 1 year,0
10000,4/22/2016,moving,,19.16%,105xx,NY,< 1 year,0
125000,4/22/2016,Business Loan,,-1%,928xx,CA,< 1 year,0
40000,4/22/2016,debt_consolidation,669,29.76%,448xx,OH,< 1 year,0
15000,4/22/2016,debt_consolidation,,51.73%,335xx,FL,< 1 year,0
15000,4/22/2016,Credit card refinancing,,13.29%,440xx,OH,10+ years,0
10000,4/22/2016,debt_consolidation,,51.44%,813xx,CO,< 1 year,0
2200,4/22/2016,other,,0%,604xx,IL,< 1 year,0
2000,4/22/2016,medical,,14.17%,951xx,CA,< 1 year,0
4000,4/22/2016,debt_consolidation,,4.15%,953xx,CA,,0
35000,4/22/2016,debt_consolidation,,78.82%,370xx,TN,< 1 year,0
20000,4/22/2016,debt_consolidation,,11.45%,852xx,AZ,< 1 year,0
30000,4/22/2016,debt_consolidation,,30.13%,210xx,MD,< 1 year,0
6000,4/22/2016,major_purchase,,1.46%,438xx,OH,< 1 year,0
5000,4/22/2016,other,,10.61%,535xx,WI,5 years,0
10000,4/22/2016,small_business,,0%,321xx,FL,5 years,0
10000,4/22/2016,Debt consolidation,671,38.41%,273xx,NC,5 years,0
17500,4/22/2016,credit_card,,-1%,940xx,CA,< 1 year,0
15000,4/22/2016,debt_consolidation,,15.89%,225xx,VA,< 1 year,0
20000,4/22/2016,debt_consolidation,,-1%,112xx,NY,< 1 year,0
7000,4/22/2016,credit_card,,23.01%,313xx,GA,< 1 year,0
8000,4/22/2016,debt_consolidation,,46.38%,113xx,NY,< 1 year,0
15000,4/22/2016,debt_consolidation,,0.79%,207xx,MD,< 1 year,0
6800,4/22/2016,vacation,,101.41%,908xx,CA,< 1 year,0
1000,4/22/2016,debt_consolidation,,2.02%,967xx,HI,,0
5000,4/22/2016,credit_card,,8.97%,381xx,TN,5 years,0
15000,4/22/2016,debt_consolidation,,37.63%,305xx,GA,< 1 year,0
10000,4/22/2016,other,674,21.88%,427xx,KY,< 1 year,0
2000,4/22/2016,debt_consolidation,,1.33%,281xx,NC,,0
2000,4/22/2016,credit_card,,32.98%,481xx,MI,5 years,0
5000,4/22/2016,Home improvement,684,19.60%,300xx,GA,,0
15000,4/22/2016,debt_consolidation,,42.91%,462xx,IN,< 1 year,0
4000,4/22/2016,moving,,136.31%,546xx,WI,5 years,0
7500,4/22/2016,Debt consolidation,636,20.14%,233xx,VA,10+ years,0
10000,4/22/2016,credit_card,664,224.37%,824xx,WY,< 1 year,0
20000,4/22/2016,other,,43.59%,967xx,HI,< 1 year,0
30000,4/22/2016,debt_consolidation,,80.03%,442xx,OH,< 1 year,0
20000,4/22/2016,debt_consolidation,,29.63%,122xx,NY,< 1 year,0
25000,4/22/2016,debt_consolidation,,36.81%,378xx,TN,< 1 year,0
40000,4/22/2016,debt_consolidation,,14.19%,331xx,FL,< 1 year,0
30000,4/22/2016,debt_consolidation,,7.11%,112xx,NY,< 1 year,0
10000,4/22/2016,debt_consolidation,,40.07%,750xx,TX,< 1 year,0
20000,4/22/2016,debt_consolidation,632,23.88%,762xx,TX,< 1 year,0
1000,4/22/2016,vacation,,18.89%,954xx,CA,5 years,0
30000,4/22/2016,Credit card refinancing,,17.59%,957xx,CA,10+ years,0
10000,4/22/2016,home_improvement,,31.43%,280xx,NC,< 1 year,0
20000,4/22/2016,debt_consolidation,,0%,113xx,NY,< 1 year,0
10000,4/22/2016,debt_consolidation,,30.64%,349xx,FL,< 1 year,0
5000,4/22/2016,other,,4.16%,104xx,NY,< 1 year,0
7000,4/22/2016,debt_consolidation,,24.85%,104xx,NY,< 1 year,0
5000,4/22/2016,debt_consolidation,,50.22%,496xx,MI,< 1 year,0
1000,4/22/2016,other,,2.21%,316xx,GA,5 years,0
30000,4/22/2016,debt_consolidation,,35.17%,303xx,GA,< 1 year,0
2000,4/22/2016,medical,,26.33%,283xx,NC,< 1 year,0
7000,4/22/2016,other,,6.60%,853xx,AZ,5 years,0
10000,4/22/2016,credit_card,640,63.14%,750xx,TX,< 1 year,0
20000,4/22/2016,debt_consolidation,,33.44%,548xx,WI,< 1 year,0
7000,4/22/2016,other,,31.76%,485xx,MI,< 1 year,0
20000,4/22/2016,debt_consolidation,,20.88%,630xx,MO,< 1 year,0
5000,4/22/2016,other,,15.31%,064xx,CT,< 1 year,0
1000,4/22/2016,medical,558,0%,305xx,GA,< 1 year,0
5000,4/22/2016,debt_consolidation,,50.28%,144xx,NY,< 1 year,0
10000,4/22/2016,Debt consolidation,660,22.26%,223xx,VA,2 years,0
8000,4/22/2016,debt_consolidation,,10.45%,331xx,FL,< 1 year,0
5000,4/22/2016,other,,0%,191xx,PA,< 1 year,0
7500,4/22/2016,car,,1.05%,130xx,NY,7 years,0
10000,4/22/2016,debt_consolidation,,19.01%,551xx,MN,< 1 year,0
20000,4/22/2016,debt_consolidation,613,16.68%,808xx,CO,< 1 year,0
3000,4/22/2016,car,,19.13%,117xx,NY,5 years,0
25000,4/22/2016,debt_consolidation,,16.01%,144xx,NY,< 1 year,0
20000,4/22/2016,debt_consolidation,,0%,112xx,NY,< 1 year,0
8000,4/22/2016,major_purchase,,0.45%,860xx,AZ,< 1 year,0
9000,4/22/2016,Debt consolidation,668,49.11%,302xx,GA,10+ years,0
5000,4/22/2016,debt_consolidation,,46.60%,351xx,AL,5 years,0
5000,4/22/2016,Debt consolidation,711,32.03%,900xx,CA,,0
5000,4/22/2016,debt_consolidation,,14.47%,968xx,HI,< 1 year,0
5000,4/22/2016,debt_consolidation,648,2.60%,027xx,MA,< 1 year,0
40000,4/22/2016,other,682,52.87%,770xx,TX,< 1 year,0
40000,4/22/2016,debt_consolidation,,73.17%,296xx,SC,< 1 year,0
5000,4/22/2016,debt_consolidation,,21.61%,070xx,NJ,< 1 year,0
15000,4/22/2016,home_improvement,,10.45%,331xx,FL,< 1 year,0
10000,4/22/2016,debt_consolidation,,25.83%,761xx,TX,5 years,0
5000,4/22/2016,debt_consolidation,,11.05%,068xx,CT,,0
6500,4/22/2016,other,,3.84%,724xx,AR,5 years,0
7000,4/22/2016,debt_consolidation,,59.95%,750xx,TX,5 years,0
1000,4/22/2016,major_purchase,,32.88%,752xx,TX,< 1 year,0
8000,4/22/2016,debt_consolidation,,7.55%,802xx,CO,5 years,0
8000,4/22/2016,Credit card refinancing,696,32.73%,153xx,PA,2 years,0
25000,4/22/2016,house,,0.86%,338xx,FL,5 years,0
25000,4/22/2016,debt_consolidation,,17.82%,847xx,UT,< 1 year,0
3000,4/22/2016,other,,19.30%,236xx,VA,< 1 year,0
5000,4/22/2016,debt_consolidation,,33.06%,782xx,TX,< 1 year,0
4000,4/22/2016,car,,2%,982xx,WA,5 years,0
20000,4/22/2016,other,,12.48%,917xx,CA,5 years,0
40000,4/22/2016,other,,10.33%,917xx,CA,< 1 year,0
5000,4/22/2016,debt_consolidation,746,23.91%,440xx,OH,,0
15000,4/22/2016,credit_card,,42.17%,735xx,OK,5 years,0
7000,4/22/2016,debt_consolidation,,139.81%,652xx,MO,< 1 year,0
10000,4/22/2016,Credit card refinancing,622,19.93%,331xx,FL,10+ years,0
1500,4/22/2016,debt_consolidation,,4.83%,212xx,MD,5 years,0
2000,4/22/2016,other,,6.80%,800xx,CO,5 years,0
20000,4/22/2016,credit_card,,13.15%,117xx,NY,< 1 year,0
6500,4/22/2016,debt_consolidation,642,32.41%,973xx,OR,< 1 year,0
10000,4/22/2016,medical,,19.46%,940xx,CA,< 1 year,0
15000,4/22/2016,debt_consolidation,,35.35%,748xx,OK,< 1 year,0
8200,4/22/2016,credit_card,619,17.39%,344xx,FL,< 1 year,0
20000,4/22/2016,medical,,17.41%,071xx,NJ,< 1 year,0
8000,4/22/2016,other,,30.77%,334xx,FL,< 1 year,0
25000,4/22/2016,medical,,4.75%,919xx,CA,< 1 year,0
13000,4/22/2016,debt_consolidation,,34.45%,485xx,MI,< 1 year,0
8000,4/22/2016,debt_consolidation,,14.96%,934xx,CA,< 1 year,0
2000,4/22/2016,other,,52.96%,802xx,CO,5 years,0
20000,4/22/2016,house,,47.42%,480xx,MI,< 1 year,0
40000,4/22/2016,debt_consolidation,,33.88%,900xx,CA,< 1 year,0
8000,4/22/2016,debt_consolidation,650,59.48%,320xx,FL,< 1 year,0
16000,4/22/2016,debt_consolidation,,37.25%,640xx,MO,< 1 year,0
4000,4/22/2016,credit_card,,16.93%,018xx,MA,< 1 year,0
20000,4/22/2016,other,,0%,723xx,AR,< 1 year,0
7000,4/22/2016,home_improvement,,1.35%,933xx,CA,< 1 year,0
40000,4/22/2016,house,,21.11%,339xx,FL,< 1 year,0
40000,4/22/2016,credit_card,,902.07%,935xx,CA,< 1 year,0
6500,4/22/2016,debt_consolidation,,0.79%,290xx,SC,< 1 year,0
10000,4/22/2016,credit_card,714,53.60%,117xx,NY,< 1 year,0
5000,4/22/2016,major_purchase,,25.54%,323xx,FL,5 years,0
15000,4/22/2016,debt_consolidation,,31.98%,806xx,CO,5 years,0
4000,4/22/2016,debt_consolidation,,5.63%,427xx,KY,< 1 year,0
30000,4/22/2016,debt_consolidation,671,6.04%,170xx,PA,1 year,0
20000,4/22/2016,other,670,68.29%,088xx,NJ,< 1 year,0
25000,4/22/2016,home_improvement,,11.19%,070xx,NJ,,0
5000,4/22/2016,major_purchase,,10.63%,554xx,MN,< 1 year,0
2000,4/22/2016,debt_consolidation,,0%,605xx,IL,< 1 year,0
35000,4/22/2016,debt_consolidation,,16.85%,300xx,GA,< 1 year,0
10000,4/22/2016,small_business,,14.61%,070xx,NJ,< 1 year,0
10000,4/22/2016,debt_consolidation,665,11.60%,554xx,MN,< 1 year,0
40000,4/22/2016,credit_card,,15.70%,935xx,CA,< 1 year,0
20000,4/22/2016,debt_consolidation,,10.49%,112xx,NY,< 1 year,0
5000,4/22/2016,credit_card,,10.19%,324xx,FL,5 years,0
4300,4/22/2016,credit_card,,24.98%,727xx,AR,< 1 year,0
7000,4/22/2016,Debt consolidation,634,9.22%,342xx,FL,,0
5000,4/22/2016,major_purchase,,16.38%,276xx,NC,< 1 year,0
40000,4/22/2016,debt_consolidation,,41.89%,553xx,MN,< 1 year,0
5000,4/22/2016,debt_consolidation,,9.09%,193xx,PA,< 1 year,0
40000,4/22/2016,Business,693,5.13%,450xx,OH,,0
20000,4/22/2016,credit_card,673,37.93%,271xx,NC,< 1 year,0
15000,4/22/2016,debt_consolidation,708,61.67%,283xx,NC,< 1 year,0
10000,4/22/2016,debt_consolidation,,4.58%,113xx,NY,< 1 year,0
15500,4/22/2016,credit_card,,39%,400xx,KY,5 years,0
40000,4/22/2016,credit_card,,16.89%,300xx,GA,< 1 year,0
35000,4/22/2016,debt_consolidation,,53.80%,339xx,FL,< 1 year,0
5000,4/22/2016,credit_card,713,9.92%,330xx,FL,< 1 year,0
40000,4/22/2016,Debt consolidation,,32.62%,972xx,OR,3 years,0
15000,4/22/2016,debt_consolidation,,36.31%,773xx,TX,< 1 year,0
3000,4/22/2016,medical,,5.74%,759xx,TX,< 1 year,0
40000,4/22/2016,debt_consolidation,683,21.58%,306xx,GA,< 1 year,0
3000,4/22/2016,debt_consolidation,758,11.82%,322xx,FL,5 years,0
25000,4/22/2016,credit_card,,23.93%,452xx,OH,5 years,0
35000,4/22/2016,debt_consolidation,581,46.80%,453xx,OH,< 1 year,0
10000,4/22/2016,debt_consolidation,,36.31%,228xx,VA,< 1 year,0
20000,4/22/2016,debt_consolidation,627,53.50%,847xx,UT,< 1 year,0
10000,4/22/2016,debt_consolidation,567,52.98%,234xx,VA,< 1 year,0
12100,4/22/2016,debt_consolidation,,27.67%,600xx,IL,< 1 year,0
20000,4/22/2016,other,,14.96%,337xx,FL,< 1 year,0
10000,4/22/2016,credit_card,,22.05%,349xx,FL,5 years,0
25000,4/22/2016,debt_consolidation,628,38.89%,129xx,NY,< 1 year,0
1000,4/22/2016,other,,1.20%,142xx,NY,< 1 year,0
1000,4/22/2016,major_purchase,,0.94%,897xx,NV,< 1 year,0
2000,4/22/2016,other,,0%,471xx,IN,< 1 year,0
10000,4/22/2016,credit_card,,20.99%,454xx,OH,< 1 year,0
10000,4/22/2016,credit_card,,36.86%,435xx,OH,< 1 year,0
15000,4/22/2016,car,,10.27%,657xx,MO,3 years,0
15000,4/22/2016,debt_consolidation,,5.16%,841xx,UT,< 1 year,0
7175,4/22/2016,credit_card,,31.10%,026xx,MA,5 years,0
3000,4/22/2016,debt_consolidation,,46.23%,554xx,MN,< 1 year,0
30000,4/22/2016,credit_card,723,55.48%,217xx,MD,< 1 year,0
20000,4/22/2016,debt_consolidation,,13.77%,111xx,NY,< 1 year,0
7000,4/22/2016,home_improvement,584,5.44%,239xx,VA,< 1 year,0
35000,4/22/2016,debt_consolidation,678,35.61%,461xx,IN,< 1 year,0
10000,4/22/2016,debt_consolidation,674,26.82%,923xx,CA,10+ years,0
15000,4/22/2016,home_improvement,,16.06%,346xx,FL,< 1 year,0
8000,4/22/2016,car,,57.17%,342xx,FL,< 1 year,0
25000,4/22/2016,debt_consolidation,747,20.28%,282xx,NC,,0
40000,4/22/2016,debt_consolidation,,11.92%,113xx,NY,< 1 year,0
5000,4/22/2016,medical,,0.35%,751xx,TX,< 1 year,0
2000,4/22/2016,major_purchase,,-1%,773xx,TX,< 1 year,0
10000,4/22/2016,debt_consolidation,,-1%,221xx,VA,< 1 year,0
35000,4/22/2016,debt_consolidation,674,23%,281xx,NC,< 1 year,0
40000,4/22/2016,medical,552,5.62%,547xx,WI,< 1 year,0
15000,4/22/2016,debt_consolidation,,44.19%,906xx,CA,< 1 year,0
30000,4/22/2016,debt_consolidation,,77.64%,497xx,MI,< 1 year,0
30000,4/22/2016,debt_consolidation,,54.92%,395xx,MS,5 years,0
35000,4/22/2016,home_improvement,,12.95%,773xx,TX,< 1 year,0
5000,4/22/2016,debt_consolidation,,20.25%,144xx,NY,< 1 year,0
28000,4/22/2016,credit_card,681,13.90%,836xx,ID,< 1 year,0
1000,4/22/2016,medical,582,49.36%,721xx,AR,< 1 year,0
20000,4/22/2016,debt_consolidation,652,0%,112xx,NY,< 1 year,0
5000,4/22/2016,small_business,,11.69%,907xx,CA,5 years,0
39000,4/22/2016,debt_consolidation,754,36.99%,284xx,NC,< 1 year,0
5000,4/22/2016,Vacation,,9.74%,496xx,MI,< 1 year,0
20000,4/22/2016,debt_consolidation,,22.89%,335xx,FL,< 1 year,0
2500,4/22/2016,other,,-1%,851xx,AZ,< 1 year,0
28000,4/22/2016,debt_consolidation,658,17.25%,646xx,MO,7 years,0
1750,4/22/2016,vacation,,755.42%,334xx,FL,< 1 year,0
15000,4/22/2016,debt_consolidation,,58.73%,658xx,MO,< 1 year,0
7000,4/22/2016,debt_consolidation,,32.03%,400xx,KY,5 years,0
5000,4/22/2016,debt_consolidation,,21.64%,807xx,CO,< 1 year,0
5000,4/22/2016,other,,60.24%,440xx,OH,< 1 year,0
14000,4/22/2016,Debt consolidation,,38.01%,761xx,TX,10+ years,0
20000,4/22/2016,debt_consolidation,661,42.02%,930xx,CA,< 1 year,0
3000,4/22/2016,moving,,17.79%,935xx,CA,5 years,0
3000,4/22/2016,other,,1.75%,119xx,NY,< 1 year,0
5000,4/22/2016,credit_card,,12.64%,327xx,FL,< 1 year,0
34000,4/22/2016,debt_consolidation,,21.51%,560xx,MN,5 years,0
150000,4/22/2016,Business Loan,,-1%,852xx,AZ,< 1 year,0
7000,4/22/2016,other,,4.26%,104xx,NY,5 years,0
3000,4/22/2016,other,,2.16%,820xx,WY,< 1 year,0
1200,4/22/2016,other,,27.04%,600xx,IL,< 1 year,0
5000,4/22/2016,credit_card,,40.42%,496xx,MI,< 1 year,0
3200,4/22/2016,debt_consolidation,,37.75%,364xx,AL,5 years,0
10000,4/22/2016,major_purchase,,2.97%,457xx,OH,< 1 year,0
5000,4/22/2016,car,,10.62%,136xx,NY,< 1 year,0
2500,4/22/2016,debt_consolidation,,1.95%,723xx,AR,< 1 year,0
3000,4/22/2016,other,,40.23%,765xx,TX,< 1 year,0
16000,4/22/2016,debt_consolidation,662,12.69%,921xx,CA,< 1 year,0
8000,4/22/2016,credit_card,,26.15%,112xx,NY,5 years,0
9400,4/22/2016,credit_card,,8.44%,210xx,MD,< 1 year,0
10000,4/22/2016,other,,18.16%,381xx,TN,5 years,0
10000,4/22/2016,Debt consolidation,654,19.26%,483xx,MI,,0
